원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	보기	작업데이터	OX작업번호	OX작업
미술관 옆 동물원'의 감독은(는) 누구인가요?	미술관 옆 동물원'의 감독은(는) 이정향(이)에요.	'미술관 옆 동물원'을 총 감독한 사람은 누구인가요?	'미술관 옆 동물원'을 총 감독한 사람은 이정향이에요.	이정향	감독	미술관 옆 동물원	미술관 옆 동물원'의 감독은(는) 이정향(이)에요.	'미술관 옆 동물원'을 총 감독한 사람은 이정향이에요.	550	"O,O,O"
도쿄 타워 (영화)'의 감독은(는) 누구인가요?	도쿄 타워 (영화)'의 감독은(는) 미나모토 타카시(이)에요.	누가 도쿄 타워의 감독인가요?	미나모토 타카시가 도쿄 타워의 감독이에요.	미나모토 타카시	감독	도쿄 타워 (영화)	도쿄 타워 (영화)'의 감독은(는) 누구인가요?	누가 도쿄 타워의 감독인가요?	231	"O,O,O"
대남 (영화)'의 감독은(는) 누구인가요?	대남 (영화)'의 감독은(는) 김시현(이)에요.	대남의 제작자는 누구인가요?	대남의 제작자는 김시현이에요.	김시현	감독	대남 (영화)	대남 (영화)'의 감독은(는) 김시현(이)에요.	대남의 제작자는 김시현이에요.	90	"O,A,O"
'기생령'의 감독은(는) 누구인가요?	'기생령'의 감독은(는) 고석진(이)에요.	기생령은 누가 감독했나요?	고석진은 기생령의 감독이에요.	고석진	감독	기생령	'기생령'의 감독은(는) 고석진(이)에요.	고석진은 기생령의 감독이에요.	14	"O,O,O"
사랑과 눈물'의 감독은(는) 누구인가요?	사랑과 눈물'의 감독은(는) 남기남(이)에요.	사랑과 눈물의 제작자는 누구인가요?	사랑과 눈물의 제작자는 남기남이에요.	남기남	감독	사랑과 눈물	사랑과 눈물'의 감독은(는) 누구인가요?	사랑과 눈물의 제작자는 누구인가요?	161	"O,O,A"
설행 눈길을 걷다'의 감독은(는) 누구인가요?	설행 눈길을 걷다'의 감독은(는) 김희정(이)에요.	설행 눈길을 걷다는 누가 감독을 맡았나요?	설행 눈길을 걷다는 김희정이 감독을 맡았어요.	김희정	감독	설행 눈길을 걷다	설행 눈길을 걷다'의 감독은(는) 누구인가요?	설행 눈길을 걷다는 누가 감독을 맡았나요?	151	"O,O,O"
불새의 춤'의 감독은(는) 누구인가요?	불새의 춤'의 감독은(는) 강대하(이)에요.	불새의 춤'의 감독 이름은 무엇이에요?	불새의 춤'의 감독 이름은 강대하에요.	강대하	감독	불새의 춤	불새의 춤'의 감독은(는) 누구인가요?	불새의 춤'의 감독 이름은 무엇이에요?	9	"O,O,O"
지옥화 (2014년 영화)'의 감독은(는) 누구인가요?	지옥화 (2014년 영화)'의 감독은(는) 이상우 (영화 감독)(이)에요.	지옥화는 누가 지휘해서 만들었나요?	지옥화를 지휘해서 만든 사람은 이상우에요.	이상우 (영화 감독)	감독	지옥화 (2014년 영화)	지옥화 (2014년 영화)'의 감독은(는) 누구인가요?	지옥화는 누가 지휘해서 만들었나요?	507	"O,A,O"
산책 (영화)'의 감독은(는) 누구인가요?	산책 (영화)'의 감독은(는) 이정국(이)에요.	영화 산책을 감독한 사람의 이름은 무엇인가요?	영화 산책을 감독한 사람의 이름은 이정국이에요.	이정국	감독	산책 (영화)	산책 (영화)'의 감독은(는) 이정국(이)에요.	영화 산책을 감독한 사람의 이름은 이정국이에요.	546	"O,O,O"
3일낮 3일밤'의 감독은(는) 누구인가요?	3일낮 3일밤'의 감독은(는) 이원세(이)에요.	3일낮 3일밤'을 만든사람은 누구인가요?	이원세감독은 3일낮 3일밤'을 만들었어요	이원세	감독	3일낮 3일밤	3일낮 3일밤'의 감독은(는) 누구인가요?	3일낮 3일밤'을 만든사람은 누구인가요?	523	"X,O,O"
남과 북 (1984년 영화)'의 감독은(는) 누구인가요?	남과 북 (1984년 영화)'의 감독은(는) 김기(이)에요.	남과 북 (1984년 영화)의 디렉터가 누구인가요?	남과 북 (1984년 영화)를 총괄한 사람은 김기이에요.	김기	감독	남과 북 (1984년 영화)	남과 북 (1984년 영화)'의 감독은(는) 김기(이)에요.	남과 북 (1984년 영화)를 총괄한 사람은 김기이에요.	56	"O,O,A"
로사 (영화)'의 감독은(는) 누구인가요?	로사 (영화)'의 감독은(는) 맹관표(이)에요.	로사(영화)를 제작한 사람은 어떤 사람인가요?	로사(영화)를 만든 영화 감독은 맹관표라고 해요.	맹관표	감독	로사 (영화)	로사 (영화)'의 감독은(는) 맹관표(이)에요.	로사(영화)를 만든 영화 감독은 맹관표라고 해요.	216	"O,O,O"
'헬머니'의 감독은(는) 누구인가요?	'헬머니'의 감독은(는) 신한솔(이)에요.	누가 헬머니를 감독했나요?	신한솔은 헬머니의 감독했어요	신한솔	감독	헬머니	'헬머니'의 감독은(는) 누구인가요?	누가 헬머니를 감독했나요?	365	"O,O,O"
밤의 요정'의 감독은(는) 누구인가요?	밤의 요정'의 감독은(는) 남기남(이)에요.	밤의 요정은 누가 감독했나요?	남기남은 밤의 요정의 감독이에요	남기남	감독	밤의 요정	밤의 요정'의 감독은(는) 누구인가요?	밤의 요정은 누가 감독했나요?	157	"O,O,O"
미쓰 홍당무'의 감독은(는) 누구인가요?	미쓰 홍당무'의 감독은(는) 이경미(이)에요.	미쓰 홍당무는 누구의 지휘 아래에 만들어진 영화인가요?	이경미 감독이 미쓰 홍당무의 제작을 지휘한 사람이에요.	이경미	감독	미쓰 홍당무	미쓰 홍당무'의 감독은(는) 이경미(이)에요.	이경미 감독이 미쓰 홍당무의 제작을 지휘한 사람이에요.	464	"O,O,X"
'48미터'의 감독은(는) 누구인가요?	'48미터'의 감독은(는) 민백두(이)에요.	영화 48미터를 제작한 사람은 누구인가요?	영화 48미터를 제작한 사람은 민백두에요.	민백두	감독	48미터	'48미터'의 감독은(는) 민백두(이)에요.	영화 48미터를 제작한 사람은 민백두에요.	238	"O,O,O"
태양을 훔친 여자'의 감독은(는) 누구인가요?	태양을 훔친 여자'의 감독은(는) 이원세(이)에요.	태양을 훔친 여자는 누가 지휘해서 만들었나요?	태양을 훔친 여자를 지휘해서 만든 사람은 이원세에요.	이원세	감독	태양을 훔친 여자	태양을 훔친 여자'의 감독은(는) 이원세(이)에요.	태양을 훔친 여자를 지휘해서 만든 사람은 이원세에요.	528	"O,A,O"
형님먼저 아우먼저'의 감독은(는) 누구인가요?	형님먼저 아우먼저'의 감독은(는) 심우섭(이)에요.	형님먼저 아우먼저의 감독은 어떻게 되요?	심우섭은 형님먼저 아우먼저의 감독이예요.	심우섭	감독	형님먼저 아우먼저	형님먼저 아우먼저'의 감독은(는) 심우섭(이)에요.	심우섭은 형님먼저 아우먼저의 감독이예요.	372	"O,O,O"
걸스카우트 (영화)'의 감독은(는) 누구인가요?	걸스카우트 (영화)'의 감독은(는) 김상만(이)에요.	누가 걸스타우트라는 영화를 만들었나요?	김상민은 걸스카우트라는 영화를 만들었어요.	김상만	감독	걸스카우트 (영화)	걸스카우트 (영화)'의 감독은(는) 김상만(이)에요.	김상민은 걸스카우트라는 영화를 만들었어요.	80	"O,O,O"
증발 (영화)'의 감독은(는) 누구인가요?	증발 (영화)'의 감독은(는) 신상옥(이)에요.	증발 (영화)의 감독은 어떻게 되요?	신상옥은 증발(영화)의 감독이예요.	신상옥	감독	증발 (영화)	증발 (영화)'의 감독은(는) 신상옥(이)에요.	신상옥은 증발(영화)의 감독이예요.	336	"O,O,O"
'아가씨'의 감독은(는) 누구인가요?	'아가씨'의 감독은(는) 박찬욱(이)에요.	'아가씨'는 누가 감독하였나요?	'아가씨'는 박찬욱이 감독했어요	박찬욱	감독	아가씨	'아가씨'의 감독은(는) 누구인가요?	'아가씨'는 누가 감독하였나요?	283	"O,O,O"
사랑하기 좋은 날 (영화)'의 감독은(는) 누구인가요?	사랑하기 좋은 날 (영화)'의 감독은(는) 권칠인(이)에요.	영화 사랑하기 좋은날의 감독은 누구인가요?	영화 사랑하기 좋은 날의 감독은 권칠인이에요.	권칠인	감독	사랑하기 좋은 날 (영화)	사랑하기 좋은 날 (영화)'의 감독은(는) 권칠인(이)에요.	영화 사랑하기 좋은 날의 감독은 권칠인이에요.	40	"O,O,O"
그 남자의 책 198쪽'의 감독은(는) 누구인가요?	그 남자의 책 198쪽'의 감독은(는) 김정권(이)에요.	그 남자의 책 198쪽'은 누가 감독했나요?	그 남자의 책 198쪽'은 김정권이 감독해요	김정권	감독	그 남자의 책 198쪽	그 남자의 책 198쪽'의 감독은(는) 김정권(이)에요.	그 남자의 책 198쪽'은 김정권이 감독해요	106	"O,A,X"
'오늘영화'의 감독은(는) 누구인가요?	"'오늘영화'의 감독은(는) 윤성호, 강경태, 구교환, 이옥섭(이)에요."	'오늘영화'는 어느 감독의 영화인가요?	"'오늘영화'의 감독은 강경태, 구교환,이옥섭,윤성호 예요."	"윤성호, 강경태, 구교환, 이옥섭"	감독	오늘영화	'오늘영화'의 감독은(는) 누구인가요?	'오늘영화'는 어느 감독의 영화인가요?	451	"O,O,O"
위도 (영화)'의 감독은(는) 누구인가요?	위도 (영화)'의 감독은(는) 백정민(이)에요.	위도(영화)는 어느 감독이 만들었나요?	위도(영화)는 백정민감독이 만들었어요.	백정민	감독	위도 (영화)	위도 (영화)'의 감독은(는) 누구인가요?	위도(영화)는 어느 감독이 만들었나요?	309	"O,O,O"
비열한 거리 (2006년 영화)'의 감독은(는) 누구인가요?	비열한 거리 (2006년 영화)'의 감독은(는) 유하(이)에요.	비열한 거리(2006년 영화) 제작을 총괄해서 맡은 사람은 누구인가요?	비열한 거리(2006년 영화)에서 유하는 감독을 맡았어요.	유하	감독	비열한 거리 (2006년 영화)	비열한 거리 (2006년 영화)'의 감독은(는) 유하(이)에요.	비열한 거리(2006년 영화)에서 유하는 감독을 맡았어요.	448	"O,O,O"
'암살게임'의 감독은(는) 누구인가요?	암살게임'의 감독은(는) 어니 바바라쉬(이)에요.	영화 암살게임 감독이 누군지 아시는지요?	영화 암살게임의 감독은 어니 바바라쉬라네요	어니 바바라쉬	감독	암살게임	암살게임'의 감독은(는) 어니 바바라쉬(이)에요.	영화 암살게임의 감독은 어니 바바라쉬라네요	406	"O,O,O"
'낙타(들)'의 감독은(는) 누구인가요?	'낙타(들)'의 감독은(는) 박기용(이)에요.	'낙타(들)'은 누가 총 지휘했나요?	박기용이 '낙타(들)'의 감독을 맡았어요.	박기용	감독	낙타(들)	'낙타(들)'의 감독은(는) 박기용(이)에요.	박기용이 '낙타(들)'의 감독을 맡았어요.	246	"O,O,O"
'공즉시색'의 감독은(는) 누구인가요?	'공즉시색'의 감독은(는) 김현빈(이)에요.	누가 공즉시색의 감독인가요?	공즉시색은 김현빈이 감독했어요.	김현빈	감독	공즉시색	'공즉시색'의 감독은(는) 김현빈(이)에요.	공즉시색은 김현빈이 감독했어요.	144	"O,O,O"
토끼를 태운 잠수함'의 감독은(는) 누구인가요?	토끼를 태운 잠수함'의 감독은(는) 김한성(이)에요.	토끼를 태운 잠수함을 만든 사람은 누구인가요?	토끼를 태운 잠수함을 만든 사람은 김한성이에요.	김한성	감독	토끼를 태운 잠수함	토끼를 태운 잠수함'의 감독은(는) 누구인가요?	토끼를 태운 잠수함을 만든 사람은 누구인가요?	135	"A,O,O"
정글 스토리'의 감독은(는) 누구인가요?	정글 스토리'의 감독은(는) 김홍준(이)에요.	'정글 스토리'를 감독한 사람은 누구인가요?	'정글 스토리'를 감독한 사람은 김홍준이에요.	김홍준	감독	정글 스토리	정글 스토리'의 감독은(는) 누구인가요?	'정글 스토리'를 감독한 사람은 누구인가요?	147	"O,O,O"
나를 찾아줘'의 감독은(는) 누구인가요?	나를 찾아줘'의 감독은(는) 데이비드 핀처(이)에요.	누가 나를 찾아줘의 감독인가요?	데이비드 핀처가 나를 찾아줘의 감독이예요	데이비드 핀처	감독	나를 찾아줘	나를 찾아줘'의 감독은(는) 누구인가요?	누가 나를 찾아줘의 감독인가요?	187	"O,O,O"
블랙스톤 (영화)'의 감독은(는) 누구인가요?	블랙스톤 (영화)'의 감독은(는) 노경태(이)에요.	블랙스톤 (영화) 누가 만들었나요?	블랙스톤 (영화)를 제작한 사람은 노경태에요.	노경태	감독	블랙스톤 (영화)	블랙스톤 (영화)'의 감독은(는) 누구인가요?	블랙스톤 (영화) 누가 만들었나요?	171	"X,A,O"
링크 (2011년 영화)'의 감독은(는) 누구인가요?	링크 (2011년 영화)'의 감독은(는) 우디 한(이)에요.	링크라는 2011년 영화를 만든 사람은 누구인가요?	링크라는 2011년 영화는 우디 한이 만들었어요.	우디 한	감독	링크 (2011년 영화)	링크 (2011년 영화)'의 감독은(는) 누구인가요?	링크라는 2011년 영화를 만든 사람은 누구인가요?	439	"O,O,O"
매혹 (1991년 영화)'의 감독은(는) 누구인가요?	매혹 (1991년 영화)'의 감독은(는) 박수일(이)에요.	누가 매혹을 감독했나요?	매혹은 박수일이 감독했어요.	박수일	감독	매혹 (1991년 영화)	매혹 (1991년 영화)'의 감독은(는) 누구인가요?	누가 매혹을 감독했나요?	255	"A,O,O"
키위새의 겨울'의 감독은(는) 누구인가요?	키위새의 겨울'의 감독은(는) 김현명(이)에요.	'키위새의 겨울' 감독 이름은 무엇이에요?	'키위새의 겨울'의 감독 이름은 김현명이에요.	김현명	감독	키위새의 겨울	키위새의 겨울'의 감독은(는) 누구인가요?	'키위새의 겨울' 감독 이름은 무엇이에요?	137	"O,O,O"
신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생'의 감독은(는) 누구인가요?	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생'의 감독은(는) 마사유키(이)에요.	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생의 감독을 알고 싶어요.	마사유키가 신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생을 감독했어요.	마사유키	감독	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생'의 감독은(는) 마사유키(이)에요.	마사유키가 신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생을 감독했어요.	212	"O,O,O"
미스터 콘돔'의 감독은(는) 누구인가요?	미스터 콘돔'의 감독은(는) 양윤호(이)에요.	미스터 콘돔의 감독을 담당한 사람은 누구인가요?	미스터 콘돔은 양윤호가 감독을 맡았어요.	양윤호	감독	미스터 콘돔	미스터 콘돔'의 감독은(는) 양윤호(이)에요.	미스터 콘돔은 양윤호가 감독을 맡았어요.	404	"O,O,O"
'무산일기'의 감독은(는) 누구인가요?	'무산일기'의 감독은(는) 박정범(이)에요.	무산일기를 만든 사람은 누구에요?	무산일기를 만든 사람은 박정범이에요	박정범	감독	무산일기	'무산일기'의 감독은(는) 누구인가요?	무산일기를 만든 사람은 누구에요?	263	"O,A,O"
